Brand,Model Name,Model Image,Technology,2G bands,Status,SIM,Resolution,OS,Internal,Video,,
acer,Acer Chromebook Tab 10,https://cdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,No cellular connectivity,N/A,"Available. Released 2018, July",No,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Chrome OS,"32 GB, 4 GB RAM",720p,,
acer,Acer Iconia Talk S,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Available. Released 2016, October",Dual SIM (Micro-SIM/Nano-SIM),"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",Android 6.0 (Marshmallow),"16/32 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid Z6 Plus,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2016, December","Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),"32 GB, 3 GB RAM",1080p@30fps,,
acer,Acer Liquid Z6,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2016, December","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),"8 GB, 1 GB RAM",Yes,,
acer,Acer Iconia Tab 10 A3-A40,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg,No cellular connectivity,N/A,"Available. Released 2016, June",No,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 6.0 (Marshmallow),"16/32/64 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid X2,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"Available. Released 2016, February",Triple SIM (Micro-SIM),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),"32 GB, 3 GB RAM",1080p@30fps,,
acer,Acer Liquid Jade 2,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Available,"Dual SIM (Nano-SIM, dual stand-by)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),"32 GB, 3 GB RAM","2160p@30fps, 1080p@30fps",,
acer,Acer Liquid Zest Plus,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2016, July","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),"16 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid Zest,https://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2016, April","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),"8 GB, 1 GB RAM",1080p@30fps,,
acer,Acer Predator 8,https://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,No cellular connectivity,N/A,"Available. Released 2015, November",No,"1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 5.0 (Lollipop),"32/64 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid Jade Primo,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Available. Released 2016, April","Hybrid Dual SIM (Nano-SIM, dual stand-by)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Microsoft Windows 10,"32 GB, 3 GB RAM","2160p@30fps, 1080p@30fps",,
acer,Acer Liquid Z330,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, October","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),"8 GB, 1 GB RAM",Yes,,
acer,Acer Liquid Z320,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, November","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Android 5.1 (Lollipop),"8 GB, 1 GB RAM",Yes,,
acer,Acer Liquid Z630S,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, September","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),"32 GB, 3 GB RAM",1080p@30fps,,
acer,Acer Liquid Z630,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, September","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),"8 GB, 1 GB RAM16 GB, 2 GB RAM",Yes,,
acer,Acer Liquid Z530S,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, November","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),"32 GB, 3 GB RAM",Yes,,
acer,Acer Liquid Z530,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, October","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),"8 GB, 1 GB RAM16 GB, 2 GB RAM",Yes,,
acer,Acer Liquid M330,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, November","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,"8 GB, 1 GB RAM",Yes,,
acer,Acer Liquid M320,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, November","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",Microsoft Windows 10,"8 GB, 1 GB RAM",Yes,,
acer,Acer Iconia Tab 10 A3-A30,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,No cellular connectivity,N/A,"Available. Released 2015, June",No,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),"16/32/64 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Iconia One 8 B1-820,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,No cellular connectivity,N/A,"Available. Released 2015, May",No,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Android 5.0 (Lollipop),"16/32 GB, 1 GB RAM",1080p@30fps,,
acer,Acer Iconia Tab A3-A20,https://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,"Available. Released 2014, October",No,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.4 (KitKat),"16 GB, 1 GB RAM",720p,,
acer,Acer Iconia Tab A3-A20FHD,https://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,No cellular connectivity,N/A,"Available. Released 2014, October",No,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.4 (KitKat),"32 GB, 2 GB RAM",720p,,
acer,Acer Liquid Jade Z,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Available. Released 2015, April","Hybrid Dual SIM (Nano-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.0 (Lollipop),"8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus",1080p@30fps,,
acer,Acer Liquid Z520,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, April","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","480 x 854 pixels, 16:9 ratio (~187 ppi density)",Android 4.4.2 (KitKat),"8 GB, 1 GB RAM16 GB, 2 GB RAM","1080p@30fps, 720p@60fps",,
acer,Acer Liquid Z220,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, April","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 5.0 (Lollipop),"8 GB, 1 GB RAM",720p@30fps,,
acer,Acer Liquid M220,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m220.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, May","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 8.1,"4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus",Yes,,
acer,Acer Liquid Z410,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2015, February","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.4 (KitKat),"8 GB, 1 GB RAM16 GB, 2 GB RAM","Yes, dual shot",,
acer,Acer Liquid Jade S,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Available. Released 2014, December","Hybrid Dual SIM (Nano-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)","16 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid Z500,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2014, Septeber","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),"4 GB, 1 GB RAM16 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid X1,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"Available. Released 2014, September",Micro-SIM,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Android 4.4.2 (KitKat),"16 GB, 2 GB RAM",1080p@30fps,,
acer,Acer Liquid Jade,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Available. Released 2014, July","Hybrid Dual SIM (Micro-SIM, dual stand-by)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),"8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus",1080p@30fps,,
acer,Acer Liquid E700,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,"Available. Released 2014, August",Triple SIM (Micro-SIM),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 4.4.2 (KitKat),"16 GB, 2 GB RAM or 4 GB, 1 GB RAM",1080p@30fps,,
acer,Acer Liquid E600,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,"Available. Released 2014, September",Micro-SIM,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),"4 GB, 1 GB RAM16 GB, 2 GB RAM",Yes,,
acer,Acer Liquid Z200,https://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"Available. Released 2014, September","Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),"4 GB, 512 MB RAM",Yes,,
acer,Acer Iconia Tab 8 A1-840FHD,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg,No cellular connectivity,N/A,"Available. Released 2014, September",No,"1200 x 1920 pixels, 16:10 ratio (~283 ppi density)",Android 4.4.2 (KitKat),"16/32 GB, 2 GB RAM",Yes,,
acer,Acer Iconia Tab 7 A1-713,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A,"Available. Released 2014, August",Mini-SIM,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)","16 GB, 1 GB RAM",Yes,,
acer,Acer Iconia Tab 7 A1-713HD,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A,"Available. Released 2014, August",Mini-SIM,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.4.2 (KitKat),"16 GB, 1 GB RAM",Yes,,
acer,Acer Iconia One 7 B1-730,https://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg,No cellular connectivity,N/A,"Available. Released 2014, June",No,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)","8 GB, 1 GB RAM",Yes,,
